Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI,MACD,Signal,Stoch,ATR,OBV,ADX
5/23/2017,2320.419922,2320.820068,2178.5,2191.560059,1378749952,1826.458984,1847.703436,83.69033709,199.9155658,164.2525929,88.34502117,107.0563944,19624246252,59.15984833
5/24/2017,2443.639893,2523.719971,2321.370117,2321.370117,1725379968,1871.757477,1904.459289,85.80170936,222.6394931,175.9299729,90.25776521,113.9311129,21349626220,60.52550329
5/25/2017,2304.97998,2763.709961,2285.300049,2446.23999,2406700032,1909.233978,1942.604117,74.16631674,226.844748,186.1129279,83.17805204,139.9659167,18942926188,62.13658666
5/26/2017,2202.419922,2573.790039,2071.98999,2320.889893,1763480064,1940.414972,1967.348479,66.93600663,219.3729089,192.7649241,66.38225353,165.8117686,17179446124,61.34876209
5/27/2017,2038.869995,2260.199951,1855.829956,2196.27002,1700480000,1962.522974,1974.160052,57.33670343,197.97221,193.8063813,47.51220832,182.8519827,15478966124,58.88940097
5/28/2017,2155.800049,2267.340088,2054.080078,2054.080078,1147139968,1984.145477,1991.459099,61.57907062,188.2769406,192.7004932,42.86390217,186.1104797,16626106092,56.63528328
5/29/2017,2255.610107,2307.050049,2107.169922,2159.429932,994625024,2009.157983,2016.616338,64.79693113,186.4973817,191.4598709,44.30780378,187.0940428,17620731116,54.71243928
5/30/2017,2175.469971,2301.959961,2124.570068,2255.360107,1443970048,2028.574982,2031.745256,60.42121392,176.5848686,188.4848704,48.44043477,186.4008782,16176761068,52.92695325
5/31/2017,2286.409912,2311.080078,2145.570068,2187.189941,1544829952,2050.46698,2055.999033,64.04131841,175.6562014,185.9191366,50.19985624,184.9086511,17721591020,51.31249273
6/1/2017,2407.879883,2448.389893,2288.330078,2288.330078,1653180032,2084.648975,2089.511494,67.54195242,182.6167453,185.2586583,52.50716393,183.2708663,19374771052,50.42618261
6/2/2017,2488.550049,2488.550049,2373.320068,2404.030029,1317030016,2118.830975,2127.515166,69.65477039,192.4242872,186.6917841,60.20084463,178.4107407,20691801068,49.76612236
6/3/2017,2515.350098,2581.909912,2423.570068,2493.719971,1514950016,2154.152979,2164.451826,70.34539049,200.0532851,189.3640843,67.71416748,176.9770881,22206751084,49.51233045
6/4/2017,2511.810059,2585.889893,2452.540039,2547.790039,1355120000,2192.821979,2197.533563,70.11838423,203.4682144,192.1849103,71.53002329,173.8608226,20851631084,49.29168638
6/5/2017,2686.810059,2686.810059,2510.219971,2512.399902,1369309952,2240.439984,2244.131324,74.49933506,217.7851166,197.3049516,78.80925288,174.0557722,22220941036,49.4559214
